CODIGO;DENOMINACION;TIPOELEM;VIDRIO;ACABADO
PAV.0602.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO MATE ;PIVOT DOBLE;MATE ;CHAPA NOGAL
PAV.0603.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO BRONCE;PIVOT DOBLE;BRONCE;LACA BLANCO MAT 9003
PAV.0603.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO BRONCE;PIVOT DOBLE;BRONCE;LACA NEGRO MATE TEXT
PAV.0603.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO BRONCE;PIVOT DOBLE;BRONCE;LACADO CORTEN
PAV.0603.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO BRONCE;PIVOT DOBLE;BRONCE;CHAPA ROBLE
PAV.0603.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO BRONCE;PIVOT DOBLE;BRONCE;CHAPA NOGAL
PAV.0604.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO GRIS;PIVOT DOBLE;GRIS;LACA BLANCO MAT 9003
PAV.0604.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO GRIS;PIVOT DOBLE;GRIS;LACA NEGRO MATE TEXT
PAV.0604.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO GRIS;PIVOT DOBLE;GRIS;LACADO CORTEN
PAV.0604.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO GRIS;PIVOT DOBLE;GRIS;CHAPA ROBLE
PAV.0604.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO GRIS;PIVOT DOBLE;GRIS;CHAPA NOGAL
PAV.0605.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO;PIVOT DOBLE;GRIS OSCURO;LACA BLANCO MAT 9003
PAV.0605.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO;PIVOT DOBLE;GRIS OSCURO;LACA NEGRO MATE TEXT
PAV.0605.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO GRIS OSCURO;PIVOT DOBLE;GRIS OSCURO;LACADO CORTEN
